Web Search interest: tre
Denmark Jan 2011 - Feb 2016

Interest over time
Week,tre
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,52
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,54
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,65
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,53
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,64
2012-12-02 - 2012-12-08,65
2012-12-09 - 2012-12-15,66
2012-12-16 - 2012-12-22,74
2012-12-23 - 2012-12-29,52
2012-12-30 - 2013-01-05,73
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,61
2013-01-20 - 2013-01-26,59
2013-01-27 - 2013-02-02,70
2013-02-03 - 2013-02-09,60
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,62
2013-02-24 - 2013-03-02,60
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,57
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,46
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,57
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,55
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,53
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,41
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,47
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,52
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,57
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,53
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,56
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,65
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,65
2013-12-22 - 2013-12-28,93
2013-12-29 - 2014-01-04,62
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,55
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,54
2014-03-23 - 2014-03-29,55
2014-03-30 - 2014-04-05,54
2014-04-06 - 2014-04-12,54
2014-04-13 - 2014-04-19,45
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,55
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,53
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,60
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,37
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,36
2014-07-20 - 2014-07-26,41
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,43
2014-08-10 - 2014-08-16,46
2014-08-17 - 2014-08-23,50
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,57
2014-09-14 - 2014-09-20,57
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,57
2014-10-12 - 2014-10-18,48
2014-10-19 - 2014-10-25,68
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,59
2014-11-16 - 2014-11-22,68
2014-11-23 - 2014-11-29,68
2014-11-30 - 2014-12-06,64
2014-12-07 - 2014-12-13,71
2014-12-14 - 2014-12-20,66
2014-12-21 - 2014-12-27,87
2014-12-28 - 2015-01-03,57
2015-01-04 - 2015-01-10,75
2015-01-11 - 2015-01-17,61
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,65
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,63
2015-02-15 - 2015-02-21,73
2015-02-22 - 2015-02-28,84
2015-03-01 - 2015-03-07,76
2015-03-08 - 2015-03-14,72
2015-03-15 - 2015-03-21,71
2015-03-22 - 2015-03-28,68
2015-03-29 - 2015-04-04,58
2015-04-05 - 2015-04-11,67
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,70
2015-04-26 - 2015-05-02,68
2015-05-03 - 2015-05-09,79
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,70
2015-05-24 - 2015-05-30,69
2015-05-31 - 2015-06-06,66
2015-06-07 - 2015-06-13,74
2015-06-14 - 2015-06-20,65
2015-06-21 - 2015-06-27,55
2015-06-28 - 2015-07-04,38
2015-07-05 - 2015-07-11,39
2015-07-12 - 2015-07-18,42
2015-07-19 - 2015-07-25,43
2015-07-26 - 2015-08-01,39
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,49
2015-08-16 - 2015-08-22,68
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,58
2015-09-06 - 2015-09-12,64
2015-09-13 - 2015-09-19,62
2015-09-20 - 2015-09-26,58
2015-09-27 - 2015-10-03,57
2015-10-04 - 2015-10-10,61
2015-10-11 - 2015-10-17,55
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,59
2015-11-08 - 2015-11-14,64
2015-11-15 - 2015-11-21,61
2015-11-22 - 2015-11-28,60
2015-11-29 - 2015-12-05,63
2015-12-06 - 2015-12-12,67
2015-12-13 - 2015-12-19,100
2015-12-20 - 2015-12-26,70
2015-12-27 - 2016-01-02,68
2016-01-03 - 2016-01-09,95
2016-01-10 - 2016-01-16,63
2016-01-17 - 2016-01-23,61
2016-01-24 - 2016-01-30,55
2016-01-31 - 2016-02-06,55
2016-02-07 - 2016-02-13,53
2016-02-14 - 2016-02-20,46
2016-02-21 - 2016-02-27,59
2016-02-28 - 2016-03-05,58


Top subregions for tre
Subregion,tre
Syddanmark,100
Capital Region of Denmark,89
Region Zealand,86
North Denmark Region,82
Central Denmark Region,81


Top cities for tre
City,tre
Soro,100
Middelfart,54
Fredericia,40
Odder,36
Svendborg,36
Hjorring,34
Vejle County,33
Greve Strand,32
Slagelse Municipality,32
Birkerød,32
Helsingor,32
Skanderborg,31
Haderslev,31
Juelsminde,31
Rodovre,31



Top searches for tre
de tre,100
tre for,30
en to tre,15
tre musketerer,15
de tre musketerer,15
tre konger,10
tre falke,5
hellig tre konger,5
tre børn,5
tre tenorer,5
de evige tre,5
tre små grise,5
de tre grise,5
de tre tenorer,5
tre ege,5
hellige tre konger,5
tre vise mænd,5
tre falke skolen,5
tre søstre,5
tove ditlevsen,0
tre ege skolen,0
tre dages feber,0
tre kroner,0
tre små fisk,0
jesper wung sung,0
tre konger sorø,0
tre dk,0
tre små soldater,0
alle for tre,0
de tre veninder,0
trefor,0
tre kronor,0
tre for kolding,0
tre margueritter,0
tre retters menu,0
tre for park,0
de tre velfærdsmodeller,0
tre trin ned,0
tre brødre,0
de tre musikanter,0
tre falke møbler,0
tuoi tre,0
mit tre,0
tre mobil,0
de tre bedste,0
cafe tre konger,0
tre små kinesere,0
linie tre,0
de tre detektiver,0
de tre appelformer,0



Rising searches for tre
alle for tre,Breakout
tre margueritter,Breakout
trefor,Breakout
tre for,+90%
tre børn,+60%
tre dages feber,+60%
tre for kolding,+60%
tre konger sorø,+60%



