Web Search interest: gives
Denmark Jan 2011 - Feb 2016

Interest over time
Week,gives
2012-04-15 - 2012-04-21,43
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,47
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,39
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,38
2012-07-15 - 2012-07-21,46
2012-07-22 - 2012-07-28,45
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,50
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,39
2012-08-26 - 2012-09-01,50
2012-09-02 - 2012-09-08,47
2012-09-09 - 2012-09-15,48
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,48
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,38
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,56
2013-02-17 - 2013-02-23,53
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,39
2013-03-17 - 2013-03-23,45
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,56
2013-04-28 - 2013-05-04,43
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,56
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,52
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,52
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,61
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,53
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,60
2013-08-04 - 2013-08-10,59
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,57
2013-08-25 - 2013-08-31,58
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,49
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,54
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,54
2013-10-27 - 2013-11-02,48
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,47
2013-11-17 - 2013-11-23,47
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,54
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,45
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,59
2014-03-02 - 2014-03-08,61
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,51
2014-03-30 - 2014-04-05,46
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,60
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,60
2014-05-18 - 2014-05-24,57
2014-05-25 - 2014-05-31,39
2014-06-01 - 2014-06-07,47
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,66
2014-06-22 - 2014-06-28,62
2014-06-29 - 2014-07-05,66
2014-07-06 - 2014-07-12,100
2014-07-13 - 2014-07-19,64
2014-07-20 - 2014-07-26,61
2014-07-27 - 2014-08-02,53
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,48
2014-08-17 - 2014-08-23,62
2014-08-24 - 2014-08-30,65
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,43
2014-09-14 - 2014-09-20,49
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,48
2014-10-05 - 2014-10-11,47
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,62
2014-11-02 - 2014-11-08,61
2014-11-09 - 2014-11-15,50
2014-11-16 - 2014-11-22,49
2014-11-23 - 2014-11-29,51
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,49
2014-12-21 - 2014-12-27,61
2014-12-28 - 2015-01-03,53
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,58
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,50
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,54
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,65
2015-03-08 - 2015-03-14,58
2015-03-15 - 2015-03-21,56
2015-03-22 - 2015-03-28,43
2015-03-29 - 2015-04-04,59
2015-04-05 - 2015-04-11,57
2015-04-12 - 2015-04-18,53
2015-04-19 - 2015-04-25,64
2015-04-26 - 2015-05-02,56
2015-05-03 - 2015-05-09,58
2015-05-10 - 2015-05-16,54
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,51
2015-05-31 - 2015-06-06,55
2015-06-07 - 2015-06-13,68
2015-06-14 - 2015-06-20,48
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,47
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,62
2015-07-19 - 2015-07-25,46
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,55
2015-08-09 - 2015-08-15,58
2015-08-16 - 2015-08-22,57
2015-08-23 - 2015-08-29,64
2015-08-30 - 2015-09-05,52
2015-09-06 - 2015-09-12,52
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,47
2015-09-27 - 2015-10-03,52
2015-10-04 - 2015-10-10,57
2015-10-11 - 2015-10-17,61
2015-10-18 - 2015-10-24,53
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,41
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,57
2015-11-22 - 2015-11-28,53
2015-11-29 - 2015-12-05,43
2015-12-06 - 2015-12-12,50
2015-12-13 - 2015-12-19,54
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,54
2016-01-10 - 2016-01-16,46
2016-01-17 - 2016-01-23,55
2016-01-24 - 2016-01-30,48
2016-01-31 - 2016-02-06,48
2016-02-07 - 2016-02-13,44
2016-02-14 - 2016-02-20,54
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,0


Top subregions for gives
Subregion,gives
Region Zealand,100
Capital Region of Denmark,97
North Denmark Region,96
Central Denmark Region,94
Syddanmark,92


Top cities for gives
City,gives
Randers,100
Lyngby,99
Herning,93
Roskilde County,92
Samsø,90
Sonderborg,88
Silkeborg,83
Aalborg,83
Hvidovre,82
Kolding,81
Vejle County,78
Odense,74
Copenhagen,74
Aarhus,71
Frederiksberg,66



Top searches for gives
gives væk,100
gives bort,25
hunde gives væk,15
hund gives væk,10
dba gives væk,10
kattekillinger gives væk,5



Rising searches for gives
dba gives væk,Breakout
kattekillinger gives væk,Breakout



