Web Search interest: kønsvorter
Denmark Jan 2011 - Feb 2016

Interest over time
Week,kønsvorter
2013-03-24 - 2013-03-30,43
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,36
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,41
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,53
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,50
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,36
2013-09-08 - 2013-09-14,44
2013-09-15 - 2013-09-21,40
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,38
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,52
2013-11-10 - 2013-11-16,86
2013-11-17 - 2013-11-23,40
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,53
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,51
2014-02-09 - 2014-02-15,38
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,48
2014-03-23 - 2014-03-29,46
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,39
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,37
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,48
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,44
2014-06-22 - 2014-06-28,42
2014-06-29 - 2014-07-05,41
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,55
2014-07-20 - 2014-07-26,42
2014-07-27 - 2014-08-02,42
2014-08-03 - 2014-08-09,36
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,38
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,37
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,34
2014-09-28 - 2014-10-04,31
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,47
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,36
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,36
2014-12-07 - 2014-12-13,36
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,38
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,39
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,39
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,34
2015-03-01 - 2015-03-07,36
2015-03-08 - 2015-03-14,39
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,32
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,38
2015-04-12 - 2015-04-18,40
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,30
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,40
2015-07-05 - 2015-07-11,41
2015-07-12 - 2015-07-18,42
2015-07-19 - 2015-07-25,35
2015-07-26 - 2015-08-01,36
2015-08-02 - 2015-08-08,39
2015-08-09 - 2015-08-15,34
2015-08-16 - 2015-08-22,44
2015-08-23 - 2015-08-29,36
2015-08-30 - 2015-09-05,32
2015-09-06 - 2015-09-12,33
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,32
2015-09-27 - 2015-10-03,30
2015-10-04 - 2015-10-10,29
2015-10-11 - 2015-10-17,35
2015-10-18 - 2015-10-24,29
2015-10-25 - 2015-10-31,29
2015-11-01 - 2015-11-07,29
2015-11-08 - 2015-11-14,37
2015-11-15 - 2015-11-21,32
2015-11-22 - 2015-11-28,31
2015-11-29 - 2015-12-05,32
2015-12-06 - 2015-12-12,29
2015-12-13 - 2015-12-19,32
2015-12-20 - 2015-12-26,33
2015-12-27 - 2016-01-02,34
2016-01-03 - 2016-01-09,36
2016-01-10 - 2016-01-16,30
2016-01-17 - 2016-01-23,37
2016-01-24 - 2016-01-30,29
2016-01-31 - 2016-02-06,35
2016-02-07 - 2016-02-13,45
2016-02-14 - 2016-02-20,43
2016-02-21 - 2016-02-27,43
2016-02-28 - 2016-03-05,0


Top subregions for kønsvorter
Subregion,kønsvorter
Central Denmark Region,100
Capital Region of Denmark,96
North Denmark Region,90
Region Zealand,90
Syddanmark,89


Top cities for kønsvorter
City,kønsvorter
Frederiksberg,100
Aarhus,99
Kolding,96
Copenhagen,86
Samsø,78
Aalborg,73
Odense,68



Top searches for kønsvorter
kønsvorter behandling,100
kønsvorter billeder,95
kønssygdomme,85
herpes,65
kondylomer,65
kønsvorter smitte,65
hpv,60
kønsvorter mænd,60



Rising searches for kønsvorter
hpv,Breakout
kønsvorter mænd,+140%
kønsvorter smitte,+110%
herpes,+100%
kønssygdomme,+40%



