Web Search interest: år
Denmark Jan 2011 - Feb 2016

Interest over time
Week,år
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,60
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,64
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,66
2013-05-26 - 2013-06-01,61
2013-06-02 - 2013-06-08,63
2013-06-09 - 2013-06-15,61
2013-06-16 - 2013-06-22,65
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,56
2013-07-14 - 2013-07-20,56
2013-07-21 - 2013-07-27,56
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,72
2013-08-18 - 2013-08-24,69
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,70
2013-09-08 - 2013-09-14,66
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,67
2013-09-29 - 2013-10-05,71
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,62
2013-10-20 - 2013-10-26,69
2013-10-27 - 2013-11-02,70
2013-11-03 - 2013-11-09,69
2013-11-10 - 2013-11-16,70
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,72
2013-12-01 - 2013-12-07,76
2013-12-08 - 2013-12-14,81
2013-12-15 - 2013-12-21,83
2013-12-22 - 2013-12-28,62
2013-12-29 - 2014-01-04,73
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,73
2014-01-19 - 2014-01-25,69
2014-01-26 - 2014-02-01,69
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,73
2014-03-02 - 2014-03-08,73
2014-03-09 - 2014-03-15,76
2014-03-16 - 2014-03-22,72
2014-03-23 - 2014-03-29,69
2014-03-30 - 2014-04-05,68
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,65
2014-04-27 - 2014-05-03,65
2014-05-04 - 2014-05-10,70
2014-05-11 - 2014-05-17,67
2014-05-18 - 2014-05-24,69
2014-05-25 - 2014-05-31,65
2014-06-01 - 2014-06-07,67
2014-06-08 - 2014-06-14,73
2014-06-15 - 2014-06-21,69
2014-06-22 - 2014-06-28,63
2014-06-29 - 2014-07-05,64
2014-07-06 - 2014-07-12,65
2014-07-13 - 2014-07-19,63
2014-07-20 - 2014-07-26,63
2014-07-27 - 2014-08-02,68
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,73
2014-08-24 - 2014-08-30,75
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,74
2014-09-14 - 2014-09-20,74
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,81
2014-10-05 - 2014-10-11,84
2014-10-12 - 2014-10-18,69
2014-10-19 - 2014-10-25,79
2014-10-26 - 2014-11-01,85
2014-11-02 - 2014-11-08,84
2014-11-09 - 2014-11-15,86
2014-11-16 - 2014-11-22,88
2014-11-23 - 2014-11-29,86
2014-11-30 - 2014-12-06,94
2014-12-07 - 2014-12-13,95
2014-12-14 - 2014-12-20,97
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,87
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,82
2015-01-25 - 2015-01-31,79
2015-02-01 - 2015-02-07,79
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,78
2015-03-01 - 2015-03-07,83
2015-03-08 - 2015-03-14,83
2015-03-15 - 2015-03-21,77
2015-03-22 - 2015-03-28,72
2015-03-29 - 2015-04-04,73
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,85
2015-04-19 - 2015-04-25,73
2015-04-26 - 2015-05-02,75
2015-05-03 - 2015-05-09,77
2015-05-10 - 2015-05-16,75
2015-05-17 - 2015-05-23,75
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,73
2015-06-21 - 2015-06-27,71
2015-06-28 - 2015-07-04,63
2015-07-05 - 2015-07-11,65
2015-07-12 - 2015-07-18,67
2015-07-19 - 2015-07-25,68
2015-07-26 - 2015-08-01,76
2015-08-02 - 2015-08-08,71
2015-08-09 - 2015-08-15,75
2015-08-16 - 2015-08-22,75
2015-08-23 - 2015-08-29,76
2015-08-30 - 2015-09-05,74
2015-09-06 - 2015-09-12,74
2015-09-13 - 2015-09-19,77
2015-09-20 - 2015-09-26,74
2015-09-27 - 2015-10-03,75
2015-10-04 - 2015-10-10,78
2015-10-11 - 2015-10-17,79
2015-10-18 - 2015-10-24,87
2015-10-25 - 2015-10-31,76
2015-11-01 - 2015-11-07,85
2015-11-08 - 2015-11-14,82
2015-11-15 - 2015-11-21,79
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,93
2015-12-06 - 2015-12-12,98
2015-12-13 - 2015-12-19,99
2015-12-20 - 2015-12-26,81
2015-12-27 - 2016-01-02,89
2016-01-03 - 2016-01-09,88
2016-01-10 - 2016-01-16,86
2016-01-17 - 2016-01-23,85
2016-01-24 - 2016-01-30,84
2016-01-31 - 2016-02-06,81
2016-02-07 - 2016-02-13,85
2016-02-14 - 2016-02-20,72
2016-02-21 - 2016-02-27,78
2016-02-28 - 2016-03-05,100


Top subregions for år
Subregion,år
Region Zealand,100
Central Denmark Region,95
North Denmark Region,95
Capital Region of Denmark,94
Syddanmark,94


Top cities for år
City,år
Hobro,100
Greve Strand,98
Odder,96
Skanderborg,90
Taastrup,89
Ringsted,88
Juelsminde,85
Thisted,85
Frederikshavn,84
Horsholm,82
Nykobing Falster,81
Birkerød,81
Hjorring,81
Aabenraa,81
Holstebro,80



Top searches for år
50 år,100
40 år,85
fødselsdag,80
30 år,75
25 år,70
60 år,65
70 år,55
legetøj,50
1000 år,30
kørekort,25
fødselsdagskort,20
kørekort 70 år,15
gaveideer,15
legetøj 1 år,15
45 år,10
efterløn,10
fritidsjob,10
kontanthjælp,10
legetøj 2 år,10
skattejagt,10
job 13 år,10
festsange,10
fornyelse af kørekort,10
kinesisk år,10
25 år kanel,10
legetøj 3 år,10
50 års fødselsdag,5
mine første år,5
de utrolige år,5
spil for børn,5
hvor mange hedder,5
1000 år lyrics,5
lån penge,5
løbecykel,5
ankerstjerne,5



Rising searches for år
skattejagt,+200%
kontanthjælp,+130%
kørekort 70 år,+50%
45 år,+40%
gaveideer,+40%



