Web Search interest: tilbud
Denmark 2011-2015

Interest over time
Week,tilbud
2012-12-23 - 2012-12-29,62
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,50
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,44
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,41
2013-02-10 - 2013-02-16,45
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,40
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,47
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,46
2013-04-21 - 2013-04-27,45
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,47
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,48
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,57
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,58
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,52
2013-08-18 - 2013-08-24,48
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,47
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,50
2013-10-13 - 2013-10-19,55
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,55
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,49
2013-11-24 - 2013-11-30,58
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,66
2013-12-29 - 2014-01-04,71
2014-01-05 - 2014-01-11,60
2014-01-12 - 2014-01-18,53
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,54
2014-02-02 - 2014-02-08,53
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,53
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,54
2014-03-30 - 2014-04-05,57
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,60
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,52
2014-05-25 - 2014-05-31,58
2014-06-01 - 2014-06-07,57
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,59
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,64
2014-07-06 - 2014-07-12,65
2014-07-13 - 2014-07-19,70
2014-07-20 - 2014-07-26,66
2014-07-27 - 2014-08-02,67
2014-08-03 - 2014-08-09,62
2014-08-10 - 2014-08-16,57
2014-08-17 - 2014-08-23,57
2014-08-24 - 2014-08-30,54
2014-08-31 - 2014-09-06,54
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,51
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,58
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,58
2014-11-02 - 2014-11-08,60
2014-11-09 - 2014-11-15,61
2014-11-16 - 2014-11-22,64
2014-11-23 - 2014-11-29,78
2014-11-30 - 2014-12-06,72
2014-12-07 - 2014-12-13,76
2014-12-14 - 2014-12-20,73
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,89
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,58
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,55
2015-02-01 - 2015-02-07,53
2015-02-08 - 2015-02-14,55
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,52
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,54
2015-03-22 - 2015-03-28,54
2015-03-29 - 2015-04-04,67
2015-04-05 - 2015-04-11,63
2015-04-12 - 2015-04-18,62
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,61
2015-05-03 - 2015-05-09,61
2015-05-10 - 2015-05-16,59
2015-05-17 - 2015-05-23,57
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,58
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,58
2015-06-28 - 2015-07-04,65
2015-07-05 - 2015-07-11,64
2015-07-12 - 2015-07-18,64
2015-07-19 - 2015-07-25,66
2015-07-26 - 2015-08-01,69
2015-08-02 - 2015-08-08,65
2015-08-09 - 2015-08-15,61
2015-08-16 - 2015-08-22,62
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,61
2015-09-06 - 2015-09-12,60
2015-09-13 - 2015-09-19,59
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,61
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,70
2015-10-18 - 2015-10-24,59
2015-10-25 - 2015-10-31,59
2015-11-01 - 2015-11-07,62
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,64
2015-11-22 - 2015-11-28,90
2015-11-29 - 2015-12-05,75
2015-12-06 - 2015-12-12,76
2015-12-13 - 2015-12-19,79
2015-12-20 - 2015-12-26,74
2015-12-27 - 2016-01-02,100


Top subregions for tilbud
Subregion,tilbud
Region Zealand,100
North Denmark Region,99
Capital Region of Denmark,99
Syddanmark,99
Central Denmark Region,97


Top cities for tilbud
City,tilbud
Taastrup,100
Frederikssund,97
Kalundborg,94
Greve Strand,93
Odder,90
Skanderborg,85
Thisted,84
Frederikshavn,84
Juelsminde,84
Horsholm,83
Kastrup,83
Birkerød,82
Ringsted,82
Rodovre,80
Helsingor,78



Top searches for tilbud
bilka,100
bilka tilbud,100
føtex,90
føtex tilbud,90
tilbudsavis,75
netto tilbud,65
netto,65
elgiganten,50
fakta,50
fakta tilbud,50
kvickly tilbud,45
kvickly,45
cykler tilbud,35
cykler,35
rema tilbud,35
mine tilbud,35
tilbud online,30
rema 1000 tilbud,30
rema 1000,30
iphone tilbud,30
ipad tilbud,25
pricerunner,25
cykel tilbud,25
superbrugsen tilbud,25
superbrugsen,25
lego tilbud,25
matas tilbud,25
silvan,25
matas,25
imerco tilbud,20
imerco,20
bauhaus,20
weekendophold tilbud,20
weekendophold,20
ugens tilbud,20
lidl,20
lidl tilbud,20
aldi,20
aldi tilbud,20
superbest tilbud,20
superbest,20
netto tilbudsavis,20
irma tilbud,15
irma,15
jem og fix,15
føtex tilbudsavis,15
øl tilbud,15
tilbud i byen,15
brugsen tilbud,15
magasin,15



Rising searches for tilbud
mine tilbud,+2,150%
fakta,+250%
rema 1000,+250%
rema 1000 tilbud,+250%
rema tilbud,+250%
fakta tilbud,+200%
iphone tilbud,+190%
netto tilbud,+110%
netto,+100%



