Web Search interest: mere
Denmark 2011-2015

Interest over time
Week,mere
2014-10-19 - 2014-10-25,58
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,60
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,60
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,56
2014-12-07 - 2014-12-13,60
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,52
2014-12-28 - 2015-01-03,54
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,57
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,57
2015-02-01 - 2015-02-07,53
2015-02-08 - 2015-02-14,53
2015-02-15 - 2015-02-21,56
2015-02-22 - 2015-02-28,62
2015-03-01 - 2015-03-07,57
2015-03-08 - 2015-03-14,57
2015-03-15 - 2015-03-21,60
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,58
2015-04-12 - 2015-04-18,56
2015-04-19 - 2015-04-25,55
2015-04-26 - 2015-05-02,55
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,50
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,56
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,63
2015-06-14 - 2015-06-20,56
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,48
2015-07-05 - 2015-07-11,49
2015-07-12 - 2015-07-18,49
2015-07-19 - 2015-07-25,45
2015-07-26 - 2015-08-01,46
2015-08-02 - 2015-08-08,47
2015-08-09 - 2015-08-15,52
2015-08-16 - 2015-08-22,57
2015-08-23 - 2015-08-29,56
2015-08-30 - 2015-09-05,55
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,57
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,56
2015-10-04 - 2015-10-10,54
2015-10-11 - 2015-10-17,54
2015-10-18 - 2015-10-24,54
2015-10-25 - 2015-10-31,62
2015-11-01 - 2015-11-07,61
2015-11-08 - 2015-11-14,62
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,58
2015-11-29 - 2015-12-05,54
2015-12-06 - 2015-12-12,59
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,57
2015-12-27 - 2016-01-02,55


Top subregions for mere
Subregion,mere
Region Zealand,100
North Denmark Region,97
Syddanmark,96
Central Denmark Region,92
Capital Region of Denmark,90


Top cities for mere
City,mere
Ansager,100
Varde,89
Helsinge,48
Kalundborg,45
Thisted,39
Greve Strand,36
Frederikshavn,36
Rodovre,35
Skanderborg,35
Hjorring,34
Nykobing Falster,34
Taastrup,34
Slagelse Municipality,33
Ringsted,33
Odder,33



Top searches for mere
mere end,100
med mere,85
mad med mere,30
lidt mere,15
ikke mere tid,15
aldrig mere,10
mere energi,10
gider ikke mere,5
shaka loveless,5
mere mobil,5
læs mere,5
mere spansk,5
la mere,5
forkortelse med mere,5
elsker hende mere,5
endnu mere,5
musik med mere,0
vin med mere,0
mor med mere,0
få mere energi,0
mode med mere,0
mere end kærlighed,0
mere feminin strik,0



Rising searches for mere
mere mobil,Breakout
mere spansk,Breakout
shaka loveless,Breakout
vin med mere,Breakout
ikke mere tid,+900%
forkortelse med mere,+90%
gider ikke mere,+60%



