Web Search interest: januar
Denmark 2011-2015

Interest over time
Week,januar
2012-05-13 - 2012-05-19,4
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,4
2012-06-03 - 2012-06-09,5
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,4
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,4
2012-07-15 - 2012-07-21,4
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,4
2012-08-05 - 2012-08-11,4
2012-08-12 - 2012-08-18,5
2012-08-19 - 2012-08-25,5
2012-08-26 - 2012-09-01,6
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,6
2012-09-16 - 2012-09-22,6
2012-09-23 - 2012-09-29,6
2012-09-30 - 2012-10-06,6
2012-10-07 - 2012-10-13,9
2012-10-14 - 2012-10-20,8
2012-10-21 - 2012-10-27,10
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,12
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,13
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,84
2013-01-06 - 2013-01-12,58
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,6
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,4
2013-03-10 - 2013-03-16,5
2013-03-17 - 2013-03-23,4
2013-03-24 - 2013-03-30,4
2013-03-31 - 2013-04-06,4
2013-04-07 - 2013-04-13,3
2013-04-14 - 2013-04-20,4
2013-04-21 - 2013-04-27,4
2013-04-28 - 2013-05-04,3
2013-05-05 - 2013-05-11,3
2013-05-12 - 2013-05-18,3
2013-05-19 - 2013-05-25,3
2013-05-26 - 2013-06-01,3
2013-06-02 - 2013-06-08,3
2013-06-09 - 2013-06-15,3
2013-06-16 - 2013-06-22,4
2013-06-23 - 2013-06-29,3
2013-06-30 - 2013-07-06,3
2013-07-07 - 2013-07-13,3
2013-07-14 - 2013-07-20,4
2013-07-21 - 2013-07-27,4
2013-07-28 - 2013-08-03,4
2013-08-04 - 2013-08-10,4
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,4
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,6
2013-09-29 - 2013-10-05,7
2013-10-06 - 2013-10-12,7
2013-10-13 - 2013-10-19,7
2013-10-20 - 2013-10-26,11
2013-10-27 - 2013-11-02,10
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,91
2014-01-05 - 2014-01-11,64
2014-01-12 - 2014-01-18,55
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,4
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,4
2014-03-30 - 2014-04-05,3
2014-04-06 - 2014-04-12,3
2014-04-13 - 2014-04-19,4
2014-04-20 - 2014-04-26,4
2014-04-27 - 2014-05-03,4
2014-05-04 - 2014-05-10,3
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,3
2014-05-25 - 2014-05-31,3
2014-06-01 - 2014-06-07,3
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,3
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,11
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,95
2015-01-04 - 2015-01-10,74
2015-01-11 - 2015-01-17,61
2015-01-18 - 2015-01-24,54
2015-01-25 - 2015-01-31,48
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,5
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,5
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,4
2015-04-12 - 2015-04-18,4
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,5
2015-08-02 - 2015-08-08,5
2015-08-09 - 2015-08-15,5
2015-08-16 - 2015-08-22,5
2015-08-23 - 2015-08-29,6
2015-08-30 - 2015-09-05,6
2015-09-06 - 2015-09-12,6
2015-09-13 - 2015-09-19,8
2015-09-20 - 2015-09-26,8
2015-09-27 - 2015-10-03,9
2015-10-04 - 2015-10-10,9
2015-10-11 - 2015-10-17,11
2015-10-18 - 2015-10-24,11
2015-10-25 - 2015-10-31,11
2015-11-01 - 2015-11-07,12
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,14
2015-11-22 - 2015-11-28,13
2015-11-29 - 2015-12-05,15
2015-12-06 - 2015-12-12,19
2015-12-13 - 2015-12-19,27
2015-12-20 - 2015-12-26,39
2015-12-27 - 2016-01-02,100


Top subregions for januar
Subregion,januar
Capital Region of Denmark,100
Syddanmark,92
Region Zealand,91
Central Denmark Region,88
North Denmark Region,88


Top cities for januar
City,januar
Viborg,100
Hellerup,99
Gentofte,99
Kolding,92
Glostrup,91
Juelsminde,90
Søborg,89
Frederiksberg,89
Haderslev,87
Helsingor,87
Køge,86
Herlev,85
Hillerod,84
Fredericia,82
Ballerup,82



Top searches for januar
januar 2014,100
januar 2015,95
januar 2013,90
januar udsalg,70
1 januar,55
rejser januar,50
januar 2016,35
januar februar,30
rejser i januar,25
thailand januar,25
stjernetegn januar,20
januar tilbud,20
gran canaria,20
afbudsrejser januar,15
ferie januar,15
30 januar,15
varmt i januar,10
6 januar,10
billige rejser januar,10
15 januar,10
21 januar,10
rejse i januar,10
januar udsalg 2013,10
29 januar,10
januar udsalg 2014,10
23 januar,10
vejret tenerife januar,10
ferie i januar,5
fuerteventura,5
vejret tenerife,5
madeira,5
varme i januar,5
sharm el sheikh,5
tenerife vejr,5
tenerife vejr januar,5
rejser til thailand,5
åbent 1 januar,5



Rising searches for januar
januar 2013,Breakout
januar 2014,Breakout
januar 2015,Breakout
januar 2016,Breakout
thailand januar,+140%
1 januar,+70%
rejser i januar,+70%
rejser januar,+60%
januar udsalg,+40%



