Week,human
2014-02-23 - 2014-03-01,64
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,62
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,65
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,64
2014-04-27 - 2014-05-03,69
2014-05-04 - 2014-05-10,59
2014-05-11 - 2014-05-17,67
2014-05-18 - 2014-05-24,65
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,56
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,50
2014-07-13 - 2014-07-19,52
2014-07-20 - 2014-07-26,54
2014-07-27 - 2014-08-02,58
2014-08-03 - 2014-08-09,58
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,59
2014-08-31 - 2014-09-06,54
2014-09-07 - 2014-09-13,52
2014-09-14 - 2014-09-20,55
2014-09-21 - 2014-09-27,51
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,57
2014-10-26 - 2014-11-01,66
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,66
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,60
2014-12-07 - 2014-12-13,63
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,47
2015-01-04 - 2015-01-10,58
2015-01-11 - 2015-01-17,57
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,57
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,57
2015-03-01 - 2015-03-07,59
2015-03-08 - 2015-03-14,56
2015-03-15 - 2015-03-21,54
2015-03-22 - 2015-03-28,53
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,59
2015-04-12 - 2015-04-18,64
2015-04-19 - 2015-04-25,56
2015-04-26 - 2015-05-02,60
2015-05-03 - 2015-05-09,57
2015-05-10 - 2015-05-16,63
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,60
2015-05-31 - 2015-06-06,65
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,55
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,47
2015-07-26 - 2015-08-01,52
2015-08-02 - 2015-08-08,51
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,53
2015-08-23 - 2015-08-29,55
2015-08-30 - 2015-09-05,57
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,56
2015-09-27 - 2015-10-03,56
2015-10-04 - 2015-10-10,54
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,58
2015-10-25 - 2015-10-31,61
2015-11-01 - 2015-11-07,56
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,59
2015-11-22 - 2015-11-28,61
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,59
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,46
2015-12-27 - 2016-01-02,45
2016-01-03 - 2016-01-09,60
2016-01-10 - 2016-01-16,60
2016-01-17 - 2016-01-23,58
2016-01-24 - 2016-01-30,63
2016-01-31 - 2016-02-06,56
2016-02-07 - 2016-02-13,51
2016-02-14 - 2016-02-20,54
2016-02-21 - 2016-02-27,57
2016-02-28 - 2016-03-05,45
