Week,skyldes
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,53
2014-04-06 - 2014-04-12,62
2014-04-13 - 2014-04-19,53
2014-04-20 - 2014-04-26,56
2014-04-27 - 2014-05-03,59
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,58
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,60
2014-06-01 - 2014-06-07,60
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,72
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,58
2014-07-06 - 2014-07-12,74
2014-07-13 - 2014-07-19,68
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,48
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,60
2014-09-07 - 2014-09-13,54
2014-09-14 - 2014-09-20,53
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,61
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,71
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,59
2014-11-16 - 2014-11-22,65
2014-11-23 - 2014-11-29,79
2014-11-30 - 2014-12-06,61
2014-12-07 - 2014-12-13,68
2014-12-14 - 2014-12-20,60
2014-12-21 - 2014-12-27,66
2014-12-28 - 2015-01-03,72
2015-01-04 - 2015-01-10,78
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,60
2015-02-08 - 2015-02-14,58
2015-02-15 - 2015-02-21,57
2015-02-22 - 2015-02-28,64
2015-03-01 - 2015-03-07,79
2015-03-08 - 2015-03-14,58
2015-03-15 - 2015-03-21,51
2015-03-22 - 2015-03-28,58
2015-03-29 - 2015-04-04,65
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,51
2015-04-19 - 2015-04-25,69
2015-04-26 - 2015-05-02,68
2015-05-03 - 2015-05-09,56
2015-05-10 - 2015-05-16,51
2015-05-17 - 2015-05-23,63
2015-05-24 - 2015-05-30,58
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,60
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,56
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,74
2015-07-19 - 2015-07-25,59
2015-07-26 - 2015-08-01,54
2015-08-02 - 2015-08-08,47
2015-08-09 - 2015-08-15,47
2015-08-16 - 2015-08-22,68
2015-08-23 - 2015-08-29,48
2015-08-30 - 2015-09-05,49
2015-09-06 - 2015-09-12,69
2015-09-13 - 2015-09-19,69
2015-09-20 - 2015-09-26,55
2015-09-27 - 2015-10-03,61
2015-10-04 - 2015-10-10,68
2015-10-11 - 2015-10-17,64
2015-10-18 - 2015-10-24,70
2015-10-25 - 2015-10-31,54
2015-11-01 - 2015-11-07,55
2015-11-08 - 2015-11-14,62
2015-11-15 - 2015-11-21,67
2015-11-22 - 2015-11-28,54
2015-11-29 - 2015-12-05,57
2015-12-06 - 2015-12-12,62
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,70
2015-12-27 - 2016-01-02,70
2016-01-03 - 2016-01-09,71
2016-01-10 - 2016-01-16,74
2016-01-17 - 2016-01-23,67
2016-01-24 - 2016-01-30,56
2016-01-31 - 2016-02-06,78
2016-02-07 - 2016-02-13,63
2016-02-14 - 2016-02-20,60
2016-02-21 - 2016-02-27,63
2016-02-28 - 2016-03-05,0
